food_id|attribute|value
HR005|food_name|Alabio duck egg, fresh
HR005|food_group|Eggs
HR005|food_type|Raw
HR005|base_weight|100 g
HR005|base_weight_edible|Edible weight 90 %
HR005|Air (Water)| : 70.0 g
HR005|Energi (Energy)| : 187 Kal
HR005|Protein (Protein)| : 11.8 g
HR005|Lemak (Fat)| : 14.2 g
HR005|Karbohidrat (CHO)| : 3.0 g
HR005|Serat (Fibre)| : 0.0 g
HR005|Abu (ASH)| : 1.0 g
HR005|Kalsium (Ca)| : 60 mg
HR005|Fosfor (P)| : 268 mg
HR005|Besi (Fe)| : 6.0 mg
HR005|Natrium (Na)| : 115 mg
HR005|Kalium (K)| : 80.0 mg
HR005|Tembaga (Cu)| : 0.60 mg
HR005|Seng (Zn)| : 1.7 mg
HR005|Retinol (Vit. A)| : 180 mcg
HR005|Beta-Karoten (Carotenes)| : 437 mcg
HR005|Thiamin (Vit. B1)| : 1.55 mg
HR005|Riboflavin (Vit. B2)| : 0.37 mg
HR005|Niasin (Niacin)| : 0.1 mg
DR037|food_name|Ambarella leaves, fresh
DR037|food_group|Vegetables
DR037|food_type|Raw
DR037|base_weight|100 g
DR037|base_weight_edible|Edible weight 65 %
DR037|Air (Water)| : 81.0 g
DR037|Energi (Energy)| : 59 Kal
DR037|Protein (Protein)| : 3.5 g
DR037|Lemak (Fat)| : 0.3 g
DR037|Karbohidrat (CHO)| : 13.4 g
DR037|Serat (Fibre)| : 10.7 g
DR037|Abu (ASH)| : 1.8 g
DR037|Kalsium (Ca)| : 540 mg
DR037|Fosfor (P)| : 82 mg
DR037|Besi (Fe)| : 6.2 mg
DR037|Natrium (Na)| : 12 mg
DR037|Kalium (K)| : 579.0 mg
DR037|Beta-Karoten (Carotenes)| : 1,624 mcg
DR037|Karoten Total (Re)| : 2,900 mcg
DR037|Thiamin (Vit. B1)| : 0.06 mg
DR037|Riboflavin (Vit. B2)| : 0.20 mg
DR037|Niasin (Niacin)| : 1.5 mg
DR037|Vitamin C (Vit. C)| : 29 mg
ER074|food_name|Ambon banana, fresh
ER074|food_group|Fruits
ER074|food_type|Raw
ER074|base_weight|100 g
ER074|base_weight_edible|Edible weight 75 %
ER074|Air (Water)| : 72.9 g
ER074|Energi (Energy)| : 108 Kal
ER074|Protein (Protein)| : 1.0 g
ER074|Lemak (Fat)| : 0.8 g
ER074|Karbohidrat (CHO)| : 24.3 g
ER074|Serat (Fibre)| : 1.9 g
ER074|Abu (ASH)| : 1.0 g
ER074|Kalsium (Ca)| : 20 mg
