food_id|attribute|value1|value2
A6|thai_name|ข้าวกล้อง, งอก, ดิบ|
A6|english_name|Rice, brown, germinated, raw|
A6|scientific_name|Oryza sativa|
A6|base_weight|Per 100 g|
A6|Energy, by calculation|365|kcal
A6|Moisture|8.8|g
A6|Protein, total|7.47|g
A6|Fat, total|3.03|g
A6|Carbohydrate, available|74.77|g
A6|Dietary fibre|4.5|g
A6|Ash|1.37|g
A6|Calcium|14|mg
A6|Phosphorus|274|mg
A6|Sodium|25|mg
A6|Iron|1.23|mg
A6|Thiamin|0.22|mg
A6|Riboflavin|0.01|mg
A117|thai_name|ข้าวกล้อง, งอก, นึ่ง|
A117|english_name|Rice, brown, germinated, steamed|
A117|scientific_name|Oryza sativa|
A117|base_weight|Per 100 g|
A117|Energy, by calculation|152|kcal
A117|Moisture|62.3|g
A117|Protein, total|3.10|g
A117|Fat, total|1.16|g
A117|Carbohydrate, available|31.70|g
A117|Dietary fibre|1.2|g
A117|Ash|0.60|g
A9|thai_name|ข้าวกล้อง, พันธุ์ต่างๆ, ดิบ|
A9|english_name|Rice, brown, different varieties, raw|
A9|scientific_name|Oryza sativa|
A9|base_weight|Per 100 g|
A9|Energy, by calculation|352|kcal
A9|Moisture|12.1|g
A9|Protein, total|7.45|g
A9|Fat, total|2.70|g
A9|Carbohydrate, available|72.52|g
A9|Dietary fibre|3.9|g
A9|Ash|1.33|g
A9|Calcium|14|mg
A9|Phosphorus|257|mg
A9|Magnesium|59|mg
A9|Sodium|11|mg
A9|Potassium|274|mg
A9|Iron|1.01|mg
A9|Copper|0.11|mg
A9|Zinc|0.50|mg
A9|Thiamin|0.31|mg
A9|Riboflavin|0.02|mg
A9|Niacin|5.54|mg
A9|Fatty acids, total saturated|0.56|g
A9|Fatty acids, total monounsaturated|1.03|g
A9|Fatty acids, total polyunsaturated|0.85|g
A9|Fatty acids, total omega-3 polyunsaturated|0.05|g
A9|Fatty acids, total omega-6 polyunsaturated|0.80|g
A116|thai_name|ข้าวกล้อง, พันธุ์เจ้าหอมนิล, อินทรีย์|
A116|english_name|Rice, unpolished, Jao-hawm-nin, organic, raw|
A116|scientific_name|Oryza sativa|
A116|base_weight|Per 100 g|
A116|Energy, by calculation|368|kcal
A116|Moisture|9.0|g
A116|Protein, total|9.60|g
A116|Fat, total|3.20|g
A116|Carbohydrate, available|73.40|g
A116|Dietary fibre|3.8|g
A116|Ash|1.00|g
A116|Calcium|14|mg
A116|Phosphorus|277|mg
A116|Iron|4.80|mg
A116|Thiamin|0.40|mg
A116|Riboflavin|0.04|mg
A1|thai_name|ข้าวกล้อง, พันธุ์หอมมะลิ, ดิบ|
A1|english_name|Rice, brown, Jasmine variety, raw|
A1|scientific_name|Oryza sativa|
A1|base_weight|Per 100 g|
A1|Energy, by calculation|363|kcal
A1|Moisture|10.1|g
A1|Protein, total|7.34|g
A1|Fat, total|2.95|g
A1|Carbohydrate, available|74.93|g
A1|Dietary fibre|3.5|g
A1|Ash|1.20|g
A1|Calcium|9|mg
A1|Phosphorus|247|mg
A1|Sodium|29|mg
A1|Potassium|174|mg
A1|Iron|1.18|mg
A1|Thiamin|0.49|mg
A1|Riboflavin|0.01|mg
A1|Niacin|4.84|mg
A1|Sugars, total|0.25|g
A1|Fatty acids, total saturated|0.64|g
A1|Fatty acids, total monounsaturated|1.14|g
A1|Fatty acids, total polyunsaturated|0.87|g
A1|Fatty acids, total omega-3 polyunsaturated|0.07|g
A1|Fatty acids, total omega-6 polyunsaturated|0.80|g
A59|thai_name|ข้าวกล้อง, สุก|
A59|english_name|Rice, brown, cooked|
A59|scientific_name|Oryza sativa|
A59|base_weight|Per 100 g|
A59|Energy, by calculation|181|kcal
A59|Moisture|55.1|g
A59|Protein, total|3.93|g
A59|Fat, total|1.46|g
A59|Carbohydrate, available|37.01|g
A59|Dietary fibre|2.0|g
A59|Ash|0.54|g
A59|Calcium|5|mg
A59|Phosphorus|149|mg
A59|Sodium|31|mg
A59|Potassium|85|mg
A59|Iron|0.30|mg
A59|Copper|0.05|mg
A59|Zinc|0.80|mg
A59|Thiamin|0.16|mg
A59|Riboflavin|0.01|mg
A59|Niacin|3.15|mg
A2|thai_name|ข้าวกล้อง, พันธุ์เจ้าหอมนิล, ดิบ|
A2|english_name|Rice, brown. Jao-hawm-nin variety, raw|
A2|scientific_name|Oryza sativa|
A2|base_weight|Per 100 g|
A2|Energy, by calculation|367|kcal
A2|Moisture|9.1|g
A2|Protein, total|9.35|g
A2|Fat, total|3.50|g
A2|Carbohydrate, available|72.54|g
A2|Dietary fibre|4.2|g
A2|Ash|1.34|g
A2|Calcium|7|mg
A2|Phosphorus|55|mg
A2|Sodium|33|mg
A2|Potassium|211|mg
A2|Iron|1.27|mg
A2|b-carotene|15|mcg
A2|Thiamin|0.37|mg
A2|Riboflavin|0.02|mg
A2|Sugars, total|0.40|g
A14|thai_name|ข้าวเจ้า, พันธุ์เจ้าหอมนิล, ดิบ|
A14|english_name|Rice, milled, Jao-hawm-nin variety, raw|
A14|scientific_name|Oryza sativa|
A14|base_weight|Per 100 g|
A14|Energy, by calculation|360|kcal
A14|Moisture|10.1|g
A14|Protein, total|7.77|g
A14|Fat, total|1.30|g
A14|Carbohydrate, available|78.53|g
A14|Dietary fibre|1.8|g
A14|Ash|0.60|g
A14|Calcium|6|mg
A14|Sodium|18|mg
A14|Potassium|90|mg
A14|Iron|0.50|mg
A14|Thiamin|0.18|mg
A14|Sugars, total|0.10|g
A14|Fatty acids, total saturated|0.29|g
A14|Fatty acids, total monounsaturated|0.41|g
A14|Fatty acids, total polyunsaturated|0.38|g
A14|Fatty acids, total omega-3 polyunsaturated|0.02|g
A14|Fatty acids, total omega-6 polyunsaturated|0.37|g
A10|thai_name|ข้าวเจ้า, พันธุ์ต่างๆ, ดิบ|
A10|english_name|Rice, polished, raw|
A10|scientific_name|Oryza sativa|
A10|base_weight|Per 100 g|
A10|Energy, by calculation|359|kcal
A10|Moisture|10.3|g
A10|Protein, total|6.68|g
A10|Fat, total|0.76|g
A10|Carbohydrate, available|80.94|g
A10|Dietary fibre|0.9|g
A10|Ash|0.38|g
A10|Calcium|8|mg
A10|Phosphorus|82|mg
A10|Magnesium|27|mg
A10|Sodium|19|mg
A10|Potassium|116|mg
A10|Iron|0.31|mg
A10|Copper|0.14|mg
A10|Zinc|0.50|mg
A10|Selenium|5.5|mcg
A10|Thiamin|0.08|mg
A10|Riboflavin|0.02|mg
A10|Niacin|1.76|mg
A10|Fatty acids, total saturated|0.16|g
A10|Fatty acids, total monounsaturated|0.24|g
A10|Fatty acids, total polyunsaturated|0.25|g
A10|Fatty acids, total omega-3 polyunsaturated|0.01|g
A10|Fatty acids, total omega-6 polyunsaturated|0.24|g
A12|thai_name|ข้าวเจ้า, พันธุ์หอมมะลิ, ดิบ|
A12|english_name|Rice, polished, Jasmine variety, raw|
A12|scientific_name|Oryza sativa|
A12|base_weight|Per 100 g|
A12|Energy, by calculation|357|kcal
A12|Moisture|11.0|g
A12|Protein, total|6.45|g
A12|Fat, total|0.71|g
A12|Carbohydrate, available|80.87|g
A12|Dietary fibre|0.7|g
A12|Ash|0.27|g
A12|Calcium|5|mg
A12|Phosphorus|69|mg
A12|Magnesium|19|mg
A12|Sodium|18|mg
A12|Potassium|75|mg
A12|Iron|0.34|mg
A12|Copper|0.14|mg
A12|Zinc|0.10|mg
A12|Selenium|4.7|mcg
A12|Thiamin|0.11|mg
A12|Riboflavin|0.01|mg
A12|Niacin|1.67|mg
A12|Fatty acids, total saturated|0.15|g
A12|Fatty acids, total monounsaturated|0.20|g
A12|Fatty acids, total polyunsaturated|0.24|g
A12|Fatty acids, total omega-3 polyunsaturated|0.01|g
A12|Fatty acids, total omega-6 polyunsaturated|0.23|g
A11|thai_name|ข้าวเจ้า, สุก|
A11|english_name|Rice, polished, cooked|
A11|scientific_name|Oryza sativa|
A11|base_weight|Per 100 g|
A11|Total energy - by calculation|136|kcal
A11|Moisture|66.2|g
A11|Protein, total|2.28|g
A11|Fat, total|0.24|g
A11|Carbohydrate, total|31.10|g
A11|Ash|0.15|g
A11|Calcium|3|mg
A11|Phosphorus|19|mg
A11|Sodium|20|mg
A11|Potassium|88|mg
A11|Iron|0.20|mg
A11|Thiamin|0.04|mg
A11|Niacin|1.50|mg
A13|thai_name|ข้าวซ้อมมือ, ดิบ|
A13|english_name|Rice, home-pounded, brown, raw|
A13|scientific_name|-|
A13|base_weight|Per 100 g|
A13|Energy, by calculation|357|kcal
A13|Moisture|11.5|g
A13|Protein, total|6.85|g
A13|Fat, total|2.31|g
A13|Carbohydrate, available|76.33|g
A13|Dietary fibre|1.7|g
A13|Ash|1.30|g
A13|Calcium|15|mg
A13|Phosphorus|254|mg
A13|Sodium|11|mg
A13|Potassium|339|mg
A13|Iron|1.25|mg
A13|Thiamin|0.31|mg
A13|Riboflavin|0.04|mg
A13|Niacin|5.00|mg
A124|thai_name|ข้าวบาเล่ย์, ดิบ|
A124|english_name|Barley, raw|
A124|scientific_name|-|
A124|base_weight|Per 100 g|
A124|Energy, by calculation|335|kcal
A124|Moisture|11.3|g
A124|Protein, total|8.30|g
A124|Fat, total|0.70|g
A124|Carbohydrate, available|69.10|g
A124|Dietary fibre|9.4|g
A124|Ash|1.20|g
A124|Calcium|41|mg
A124|Phosphorus|191|mg
A124|Iron|1.40|mg
A124|Thiamin|0.24|mg
A124|Riboflavin|0.06|mg
A124|Niacin|0.80|mg
A124|Fatty acids, total saturated|0.15|g
A124|Fatty acids, total monounsaturated|0.08|g
A124|Fatty acids, total polyunsaturated|0.36|g
A124|Fatty acids, total omega-3 polyunsaturated|0.02|g
A124|Fatty acids, total omega-6 polyunsaturated|0.33|g
A28|thai_name|ข้าวโพด, พันธุ์ข้าวเหนียว, ต้ม|
A28|english_name|Corn, whole kernel, waxy or sticky variety, boiled|
A28|scientific_name|Zea mays ceratina|
A28|base_weight|Per 100 g|
A28|Energy, by calculation|161|kcal
A28|Moisture|62.1|g
A28|Protein, total|4.62|g
A28|Fat, total|4.00|g
A28|Carbohydrate, available|24.88|g
A28|Dietary fibre|3.7|g
A28|Ash|0.75|g
A28|Magnesium|39|mg
A28|Potassium|214|mg
A28|Iron|1.78|mg
A28|Zinc|1.34|mg
A28|b-carotene|2|mcg
A28|Thiamin|0.29|mg
A28|Riboflavin|0.04|mg
A28|Niacin|1.36|mg
A28|Sugars, total|1.65|g
A15|thai_name|ข้าวโพดหวาน, เมล็ดสีเหลือง, ดิบ|
A15|english_name|Corn, sweet, whole kernel, yellow, raw|
A15|scientific_name|Zea mays|
A15|base_weight|Per 100 g|
A15|Total energy - by calculation|111|kcal
A15|Moisture|73.4|g
A15|Protein, total|3.40|g
A15|Fat, total|1.40|g
A15|Carbohydrate, total|21.10|g
A15|Ash|0.70|g
A15|Calcium|10|mg
A15|Phosphorus|11|mg
A15|Iron|1.70|mg
A15|b-carotene|70|mcg
A15|Vitamin A; retinol activity equivalent|6|mcg
A15|Thiamin|0.11|mg
A15|Riboflavin|0.18|mg
A15|Niacin|1.10|mg
A15|Vitamin C|13|mg
A19|thai_name|ข้าวมันปู, ดิบ|
A19|english_name|Rice, whole grain, Mun-pu variety, raw|
A19|scientific_name|Oryza sativa|
A19|base_weight|Per 100 g|
A19|Energy, by calculation|355|kcal
A19|Moisture|11.4|g
A19|Protein, total|7.10|g
A19|Fat, total|2.75|g
A19|Carbohydrate, available|73.58|g
A19|Dietary fibre|3.9|g
A19|Ash|1.20|g
A19|Calcium|16|mg
A19|Phosphorus|158|mg
A19|Iron|2.85|mg
A19|Zinc|0.02|mg
A19|Thiamin|0.35|mg
A19|Riboflavin|0.04|mg
A19|Niacin|2.47|mg
A125|thai_name|ข้าวสาลี, ดิบ|
A125|english_name|Wheat, raw|
A125|scientific_name|Triticum vulgare|
A125|base_weight|Per 100 g|
A125|Energy, by calculation|342|kcal
A125|Moisture|9.4|g
A125|Protein, total|12.20|g
A125|Fat, total|1.40|g
A125|Carbohydrate, available|64.20|g
A125|Dietary fibre|11.7|g
A125|Ash|1.10|g
A125|Calcium|42|mg
A125|Phosphorus|190|mg
