,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size,region
A001,"Corn grits, white",Per 100 g,357,8.3,1.5,77.5,4.5,1,100,PH
A002,"Corn grits, yellow",Per 100 g,350,7.7,0.8,78.1,1.6,1,100,PH
A003,"Corn on cob, white",Per 100 g,148,4.4,0.8,30.9,4.1,23,100,PH
A004,"Corn on cob, yellow",Per 100 g,173,4.4,1.5,35.4,3.5,3,100,PH
A005,"Corn on cob, yellow, boiled",Per 100 g,167,3.3,1.2,35.7,3.7,1,100,PH
A006,"Cornmeal, white",Per 100 g,353,7.6,0.6,79.2,7.1,34,100,PH
A007,"Cornmeal, yellow",Per 100 g,371,8.5,3.2,77.0,7.3,35,100,PH
A008,Job's tears grain,Per 100 g,368,13.1,2.5,73.3,9.0,42,100,PH
A009,"Millet, glutinous",Per 100 g,353,10.3,2.5,72.3,8.0,5,100,PH
A010,Rice bran,Per 100 g,316,7.8,5.0,59.9,19.3,13,100,PH
A011,"Rice, glutinous, parboiled, flattened",Per 100 g,340,4.3,1.0,78.5,1.7,7,100,PH
A012,"Rice, milled, glutinous",Per 100 g,355,6.9,0.8,80.1,2.8,4,100,PH
A013,"Rice, milled, glutinous, milled w/ water",Per 100 g,210,4.4,0.1,47.9,1.6,2,100,PH
A014,"Rice, undermilled",Per 100 g,363,8.1,2.8,76.3,3.0,9,100,PH
A015,"Rice, undermilled, glutinous, purple",Per 100 g,358,8.7,2.0,76.3,2.8,2,100,PH
A016,"Rice, undermilled, glutinous, purple, boiled",Per 100 g,124,2.4,0.4,27.8,1.3,7,100,PH
A017,"Rice, undermilled, red",Per 100 g,358,7.5,0.9,80.0,4.6,2,100,PH
A019,"Rice, well-milled",Per 100 g,356,7.4,0.5,80.4,1.3,1,100,PH
A020,"Rice, well-milled, boiled",Per 100 g,129,2.1,0.2,29.7,0.4,3,100,PH
A021,"Rice, well-milled, fried",Per 100 g,187,2.6,4.0,35.2,0.5,4,100,PH
A022,Rice-corn mixture (1:1),Per 100 g,366,7.5,1.0,81.8,2.9,1,100,PH
A023,"Rice-corn mixture (1:1), boiled",Per 100 g,96,2.2,0.3,21.0,1.0,0,100,PH
A024,Sorghum,Per 100 g,382,9.5,3.9,77.1,7.0,2,100,PH
A025,"Sorghum, boiled",Per 100 g,150,3.5,1.0,31.7,2.8,1,100,PH
A026,"Ampaw, pinipig",Per 100 g,392,3.1,1.6,91.3,1.4,5,100,PH
A027,"Ampaw, rice",Per 100 g,385,4.5,2.1,87.1,1.4,5,100,PH
A028,Bicho-bicho,Per 100 g,376,7.4,14.0,55.2,1.5,390,100,PH
A029,"Biscuit, cocohoney",Per 100 g,453,7.0,14.7,73.2,8.7,30,100,PH
A030,"Bread, w/ margarine & sugar filling",Per 100 g,371,9.3,12.4,55.5,1.0,-,100,PH
A031,"Bread, brown",Per 100 g,313,12.1,0.9,64.1,4.8,614,100,PH
A032,"Bread, cheese roll",Per 100 g,342,10.1,13.5,45.1,1.2,357,100,PH
A033,"Bread, cinnamon roll",Per 100 g,387,9.1,13.1,58.1,2.6,329,100,PH
A034,"Bread, hotdog roll",Per 100 g,320,10.2,3.8,61.3,2.4,577,100,PH
A035,"Bread, toasted, w/ margarine-sugar topping",Per 100 g,412,9.3,7.4,77.1,6.3,599,100,PH
A036,"Bread, mung bean loaf",Per 100 g,352,13.5,8.3,55.8,4.4,163,100,PH
A037,"Bread, pan de bonete",Per 100 g,329,12.3,4.4,60.0,2.5,592,100,PH
A038,"Bread, pan de coco",Per 100 g,349,9.2,7.6,60.9,6.6,262,100,PH
A039,"Bread, pan de leche",Per 100 g,323,10.5,3.0,63.5,2.5,527,100,PH
A040,"Bread, pan de limon",Per 100 g,321,10.6,3.9,60.9,2.4,579,100,PH
A041,"Bread, pan de monay",Per 100 g,318,10.6,3.4,61.3,2.4,582,100,PH
A042,"Bread, pan de sal",Per 100 g,330,10.1,4.2,62.9,2.5,596,100,PH
A043,"Bread, raisin",Per 100 g,295,9.4,4.6,53.9,4.5,409,100,PH
A044,"Bread, rye",Per 100 g,304,12.1,3.5,56.0,6.9,457,100,PH
A045,"Bread, sweet roll",Per 100 g,326,8.6,5.0,61.6,1.3,383,100,PH
A046,"Bread, sweet roll w/ mung bean filling",Per 100 g,307,9.6,2.1,62.5,4.2,155,100,PH
A047,"Bread, toasted",Per 100 g,349,11.2,5.3,64.2,2.9,698,100,PH
A048,"Bread, white, loaf",Per 100 g,329,9.7,5.1,61.1,3.3,592,100,PH
A049,Bunuelos,Per 100 g,497,9.5,34.8,36.4,1.4,400,100,PH
A050,"Cake, angel food",Per 100 g,262,7.2,0.3,57.7,1.5,741,100,PH
A051,"Cake, banana",Per 100 g,331,5.4,13.4,47.2,1.0,287,100,PH
A052,"Cake, butter",Per 100 g,399,2.8,20.4,51.0,0.6,382,100,PH
A053,"Cake, cheese cupcake",Per 100 g,410,5.6,16.4,60.0,2.2,797,100,PH
A054,"Cake, chiffon",Per 100 g,332,7.2,11.6,49.8,0.5,622,100,PH
A055,"Cake, chocolate",Per 100 g,373,5.6,12.6,59.3,2.2,352,100,PH
A056,"Cake, cream-filled roll",Per 100 g,366,9.2,16.3,45.6,0.9,421,100,PH
A057,"Cake, fruit",Per 100 g,365,5.0,14.6,53.4,3.7,100,100,PH
A058,"Cake, jelly roll",Per 100 g,326,5.3,2.8,69.9,0.6,160,100,PH
A059,"Cake, kababayan",Per 100 g,361,6.3,9.9,61.6,3.4,595,100,PH
A060,"Cake, mamon",Per 100 g,368,5.4,10.7,62.6,0.6,704,100,PH
A061,"Cake, mamon, toasted",Per 100 g,416,10.4,6.7,78.5,3.9,258,100,PH
A062,"Cake, marshmallow roll",Per 100 g,338,6.5,5.1,66.4,1.7,164,100,PH
A063,"Cake, mocha roll",Per 100 g,353,6.7,9.0,61.2,1.0,456,100,PH
A064,"Cake, pineapple roll",Per 100 g,255,3.5,2.5,54.5,0.7,287,100,PH
A065,"Cake, sponge",Per 100 g,306,8.2,5.3,56.3,0.5,629,100,PH
A066,"Chips, cheese flvr",Per 100 g,489,7.2,24.1,60.7,5.0,672,100,PH
A067,"Chips, corn, bbq flvr",Per 100 g,535,6.5,30.7,58.1,5.2,758,100,PH
A068,"Chips, corn, nacho cheese flvr",Per 100 g,528,7.5,30.0,57.1,3.9,682,100,PH
A069,"Chips, corn, natural flvr",Per 100 g,527,5.9,29.1,60.3,4.0,514,100,PH
A070,"Chips, corn-potato based, cheese flvr",Per 100 g,540,3.1,33.4,56.8,5.1,453,100,PH
A071,"Chips, corn, taco & bbq flvr",Per 100 g,527,4.2,29.0,62.4,5.2,758,100,PH
A072,"Chips, corn, taco flvr",Per 100 g,515,6.8,27.4,60.2,4.0,785,100,PH
A073,"Chips, fish crackers",Per 100 g,456,5.0,16.6,71.7,0.7,745,100,PH
A074,"Chips, fish kroepeck",Per 100 g,502,4.0,27.0,60.8,0.7,729,100,PH
A075,"Chips, prawn crackers",Per 100 g,442,6.8,13.1,74.2,0.9,751,100,PH
A076,"Chips, prawn crackers, flvrd",Per 100 g,543,3.9,33.0,57.7,0.9,750,100,PH
A077,"Chips, shrimp crackers",Per 100 g,462,6.0,18.4,68.1,0.9,740,100,PH
A078,"Chips, shrimp kroepeck",Per 100 g,493,7.3,24.4,61.1,0.9,747,100,PH
A079,"Chips, squid crackers",Per 100 g,434,7.4,12.4,73.1,0.9,748,100,PH
A080,"Chips, sticks, onion flvr",Per 100 g,514,5.4,27.2,62.0,3.9,944,100,PH
A081,"Chips, tortilla, bbq flvr",Per 100 g,489,7.2,23.3,62.7,5.3,784,100,PH
A082,"Chips, tortilla, nacho cheese flvr",Per 100 g,496,7.4,23.2,64.4,5.1,687,100,PH
A083,"Cookies, apas",Per 100 g,388,5.4,0.5,90.4,1.1,357,100,PH
A084,"Cookies, arrowroot",Per 100 g,417,1.1,8.5,83.9,0.2,318,100,PH
A085,"Cookies, assorted",Per 100 g,442,6.2,11.3,78.9,1.1,413,100,PH
A086,"Cookies, brownies",Per 100 g,417,7.4,16.8,59.1,2.1,282,100,PH
A087,"Cookies, butter",Per 100 g,508,8.3,24.1,64.5,0.8,362,100,PH
A088,"Cookies, camachili",Per 100 g,443,7.8,12.2,75.6,3.1,734,100,PH
A089,"Cookies, gem",Per 100 g,426,11.0,9.7,73.6,0.9,250,100,PH
A090,"Cookies, jacobina special",Per 100 g,449,7.0,13.3,75.4,2.5,369,100,PH
A091,"Cookies, lady finger",Per 100 g,388,8.6,6.5,73.7,1.1,163,100,PH
A092,"Cookies, marie",Per 100 g,421,8.1,8.9,77.1,1.1,402,100,PH
A093,"Cookies, ogoy-ogoy",Per 100 g,441,8.3,11.8,75.3,2.5,367,100,PH
A094,"Cookies, otap",Per 100 g,462,10.1,14.3,73.3,2.5,374,100,PH
A095,"Cookies, pasencia",Per 100 g,397,6.9,3.3,84.9,1.1,402,100,PH
A096,"Cookies, pili nut",Per 100 g,532,6.6,28.3,62.6,2.2,364,100,PH
A097,"Cookies, pilipit",Per 100 g,470,6.7,17.0,72.6,2.4,564,100,PH
A098,"Cookies, polvoron",Per 100 g,478,5.2,19.2,71.0,1.3,351,100,PH
A099,"Cookies, sandwich type, choc-filled",Per 100 g,515,5.7,24.9,67.1,5.6,223,100,PH
A100,"Cookies, sandwich type, cream-filled",Per 100 g,472,5.9,18.0,71.7,2.9,388,100,PH
A101,"Cookies, vanilla wafer, choc-coated",Per 100 g,510,5.4,24.2,67.7,3.5,598,100,PH
A102,"Cookies, wafer",Per 100 g,505,4.6,22.9,70.0,1.6,103,100,PH
A103,"Corn flakes, enr",Per 100 g,387,8.2,0.6,87.2,3.4,838,100,PH
A104,Corn pudding,Per 100 g,149,1.3,1.1,33.4,1.9,14,100,PH
A105,"Corn pudding, w/ grtd coconut topping",Per 100 g,187,1.0,1.4,42.6,1.9,14,100,PH
A106,"Corn pudding, maja, yellow",Per 100 g,127,1.1,1.3,27.6,2.2,13,100,PH
A107,"Corn pudding, maja, yellow w/ grtd coconut topping",Per 100 g,151,1.8,1.3,32.9,2.2,13,100,PH
A108,"Corn, fried, seasoned",Per 100 g,483,8.5,21.8,63.2,2.1,1139,100,PH
A109,"Corn, whole kernel, cnd",Per 100 g,70,1.3,0.4,15.4,2.1,167,100,PH
A110,Cornstarch,Per 100 g,370,0.3,0.3,91.5,0.9,9,100,PH
A111,"Cracker, egg",Per 100 g,422,15.0,8.1,72.3,2.9,22,100,PH
A112,"Cracker, graham, honey-flvr",Per 100 g,423,8.0,8.1,79.5,3.4,462,100,PH
A113,"Cracker, plain",Per 100 g,482,7.5,19.7,68.7,3.0,777,100,PH
A114,"Cracker, salted",Per 100 g,480,9.6,19.9,65.5,2.9,961,100,PH
