,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size
0,"2-in-1 coffee powder, with creamer",Packet (12g),56.28,0.82,2.44,7.79,0.46,23.04,12
1,"2-in-1 coffee powder, with sugar",Sachet (15g),60.6,0.87,0.45,13.28,1.2,21.15,15
2,3 in 1 ready to drink coffee instant,Can (240g),81.6,2.4,1.92,14.16,0.24,112.8,240
3,3-in-1 cereal,Sachet (30g),89.1,2.37,3.03,13.11,1.17,134.1,30
4,3-in-1 coffee powder,Sachet (20g),65.4,1.13,2.62,9.31,0,12.94,20
5,"3-in-1 coffee powder, less sugar, low fat (HCS)",Packet (18g),73.19,0.77,1.24,14.74,0.54,8.51,18
6,"3-in-1 coffee powder, low sugar",Sachet (17g),74.63,0.78,2.04,13.29,0.6,8.33,17
7,3-in-1 instant cereal (HCS),Packet (30g),79.2,1.41,2.82,12.06,1.68,75.9,30
8,"3-in-1 tea, powder",Sachet (19g),58.33,0.7,1.75,9.92,0.61,23.94,19
9,4 in 1 brown rice cereal,Sachet (30g),126,1.5,2.49,24.99,1.11,84,30
10,"6-inch Ham Sandwich, Subway",Whole (216g),263.52,17.28,4.6,37,4,1069.2,216
11,"6-Inch Hearty Italian Bread, Subway",Whole (71g),205.19,7.1,2.5,37,2,296.07,71
12,"6-Inch Honey Oat Bread, Subway",Whole (80g),231.2,8.8,2.9,39,4,324.8,80
13,"6-Inch Italian (white) Bread, Subway",Whole (67g),192.29,6.7,2.4,34,2,296.14,67
14,"6-inch Italian BMT Sandwich, Subway",Whole (228g),426.36,22.8,20,38.01,3.99,1605.12,228
15,"6-inch Meatball Marinara Sandwich, Subway",Whole (339g),471.21,20.34,20,52.99,4.98,1223.79,339
16,"6-inch Oven Roasted Chicken Breast Sandwich, Subway",Whole (230g),305.9,23,5.29,40.94,5.06,807.3,230
17,"6-Inch Parmesan Oregano Bread, Subway",Whole (71g),205.9,7.81,2.9,36,2,421.03,71
18,"6-inch Roast Beef Sandwich, Subway",Whole (210g),270.9,18.9,4.49,38.01,3.99,648.9,210
19,"6-inch Spicy Italian Sandwich, Subway",Whole (224g),497.28,22.4,28,38.08,5,1693.44,224
20,"6-inch Steak and Cheese Sandwich, Subway",Whole (270g),394.2,27,11.99,42.01,5,1085.4,270
21,"6-inch Subway Club Sandwich, Subway",Whole (243g),298.89,24.3,5.2,38.98,4.01,1057.05,243
22,"6-inch Subway Melt Sandwich, Subway",Whole (240g),360,24,10.99,39,4.01,1404,240
23,"6-inch Sweet Onion Chicken Teriyaki Sandwich, Subway",Whole (267g),355.11,26.7,4.81,50.01,4.01,881.1,267
24,"6-inch Tuna Sandwich, Subway",Whole (236g),507.4,21.24,30,35.99,3.99,800.04,236
25,"6-inch Turkey Breast and Ham Sandwich, Subway",Whole (219g),271.56,19.71,4.49,38,4.01,1011.78,219
26,"6-inch Turkey breast Sandwich, Subway",Whole (210g),260.4,18.9,3.91,37,3.99,787.5,210
27,"6-inch Veggie Delite Sandwich, Subway",Whole (153g),205.02,9.18,2.69,35.01,3.99,284.58,153
28,"6-Inch Wheat Bread, Subway",Whole (69g),189.75,8.28,2.6,32,3,280.83,69
29,"a.m. Hash Brown, KFC",Piece (57g),90.06,1,5,11,1.54,200.07,57
37,"Abalone noodles, soup",Bowl-soup (16 and 1/2 cm) (502g),243.97,18.22,4.52,32.68,2.46,1543.65,502
38,"Abalone, canned",Whole (64g),64.64,13.95,0.32,0.64,0,384,64
39,"Abalone, canned, brine only",Can (244g),75.64,12.2,0.1,6.34,0,1832.44,244
