,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size,region
0A6,"Rice, brown, germinated, raw",Per 100 g,365.0,7.4,3.0,74.7,4.5,25.0,100,TH
1000G88,"Short bodied mackerel, steamed, fried",Per 100 g,232.0,27.5,13.6,0.1,0.0,1.0,100,TH
1001G213,"Short bodied mackerel, flesh, fried",Per 100 g,150.0,25.4,5.3,0.0,0.0,705.0,100,TH
1002G93,"Short-bodied mackerel, raw",Per 100 g,127.0,21.2,4.6,0.0,0.0,99.0,100,TH
1003G94,"Short bodied mackerel, boiled",Per 100 g,145.0,23.1,5.6,0.4,0.0,101.0,100,TH
1004G95,"Short bodied mackerel, fried",Per 100 g,236.0,28.1,13.6,0.1,0.0,132.0,100,TH
1005G96,"Black ear catfish, raw",Per 100 g,125.0,12.9,7.2,1.9,0.0,0.0,100,TH
1006G98,"Nile tilapia, raw",Per 100 g,87.0,19.3,1.1,0.0,0.0,87.0,100,TH
1007G97,"Nile tilapia, boiled",Per 100 g,123.0,21.2,4.2,0.0,0.0,74.0,100,TH
1008G99,"Nile tilapia, fried",Per 100 g,321.0,30.6,21.8,0.5,0.0,146.0,100,TH
1009G214,"Nile tilapia, fried",Per 100 g,155.0,25.5,5.8,0.0,0.0,309.0,100,TH
100N9,"Turmeric, white, fresh",Per 100 g,24.0,0.3,0.2,5.1,0.0,8.0,100,TH
1010G215,"Red tilapia in fresh water, raw",Per 100 g,106.0,21.0,2.5,0.0,0.0,62.0,100,TH
1011G216,"Red tilapia in sea water, raw",Per 100 g,106.0,20.3,2.7,0.0,0.0,69.0,100,TH
1012G100,"Sheat fish, raw",Per 100 g,83.0,15.9,1.9,0.3,0.0,0.0,100,TH
1013G101,"Carp, common, raw",Per 100 g,98.0,18.6,2.3,0.6,0.0,0.0,100,TH
1014G102,"Lizard-fish, raw",Per 100 g,89.0,20.7,0.5,0.2,0.0,0.0,100,TH
1015G217,"Giant gourami, fried",Per 100 g,317.0,31.2,21.3,0.0,0.0,86.0,100,TH
1016G218,"Giant gourami, steamed",Per 100 g,184.0,22.1,10.6,0.0,0.0,66.0,100,TH
1017G113,"Indian mackerel, raw",Per 100 g,120.0,22.0,3.5,0.0,0.0,0.0,100,TH
1018G115,"Freshwater sole, river sole, dried",Per 100 g,280.0,63.2,3.0,0.0,0.0,0.0,100,TH
1019G116,"Mimrow, raw",Per 100 g,86.0,16.4,2.3,0.0,0.0,0.0,100,TH
101N8,Turmeric,Per 100 g,46.0,1.5,0.2,9.4,0.0,21.0,100,TH
1020G117,"Grey feather back, raw",Per 100 g,83.0,19.0,0.5,0.7,0.0,0.0,100,TH
1021G118,"Grey feather back, roasted",Per 100 g,366.0,81.7,0.1,9.5,0.0,0.0,100,TH
1022G124,"Snake skin gourami, raw",Per 100 g,76.0,17.2,0.8,0.1,0.0,0.0,100,TH
1023G123,"Snake skin gourami, dried",Per 100 g,265.0,45.3,9.0,0.6,0.0,0.0,100,TH
1024G125,"Spinefoot, raw",Per 100 g,68.0,16.9,0.1,0.0,0.0,0.0,100,TH
1025G128,"Striped catfish, raw",Per 100 g,215.0,15.0,16.5,1.4,0.0,64.0,100,TH
1026G126,"Striped catfish, boiled",Per 100 g,178.0,19.3,10.8,0.9,0.0,59.0,100,TH
1027G127,"Striped catfish, steamed",Per 100 g,188.0,21.8,11.2,0.0,0.0,66.0,100,TH
1028G132,"Black-banded trevally, raw",Per 100 g,128.0,18.5,5.3,1.3,0.0,284.0,100,TH
1029G129,"Black-banded trevally, fried",Per 100 g,241.0,26.2,15.0,0.1,0.0,249.0,100,TH
102N11,Galanga,Per 100 g,35.0,0.6,0.1,7.7,0.0,82.0,100,TH
1030G130,"Black-banded trevally, steamed",Per 100 g,163.0,21.2,8.6,0.2,0.0,344.0,100,TH
1031G131,"Black-banded trevally, grilled",Per 100 g,146.0,21.8,6.4,0.1,0.0,206.0,100,TH
1032G133,"Brown spotted trevally, raw",Per 100 g,96.0,22.4,0.7,0.0,0.0,0.0,100,TH
1033G136,"Slender queen fish, dried",Per 100 g,158.0,24.3,6.7,0.0,0.0,5.7,100,TH
1034G137,"Indian anchovy (common anchovy), whole, fresh",Per 100 g,75.0,18.0,0.3,0.1,0.0,0.0,100,TH
1035G138,"Indian anchovy (common anchovy), whole, dried",Per 100 g,225.0,50.1,2.5,0.5,0.0,0.0,100,TH
1036G139,"Java tilapia, raw",Per 100 g,131.0,13.5,7.5,2.4,0.0,0.0,100,TH
1037G140,"Common climbing perch, raw",Per 100 g,133.0,17.2,7.1,0.1,0.0,0.0,100,TH
1038G141,"Cuttlefish, rainbow, raw",Per 100 g,66.0,15.4,0.2,0.5,0.0,330.0,100,TH
1039G145,"Squid, splendid, whole, cleaned, frozen",Per 100 g,59.0,11.8,1.0,0.7,0.0,238.0,100,TH
103N16,"Ginger, mature rhizome",Per 100 g,34.0,1.2,0.6,5.9,0.0,19.0,100,TH
1040G143,"Squid, splendid, raw",Per 100 g,66.0,15.3,0.4,0.2,0.0,254.0,100,TH
1041G146,"Squid, splendid, dried",Per 100 g,252.0,47.9,5.6,2.5,0.0,0.0,100,TH
1042G147,"Hardtail scad, raw",Per 100 g,91.0,22.1,0.3,0.0,0.0,0.0,100,TH
1043G149,"Hardtail scad, dried",Per 100 g,168.0,38.4,1.6,0.0,0.0,0.0,100,TH
1044G150,"Eel, swamp, raw",Per 100 g,86.0,19.6,0.7,0.0,0.0,58.0,100,TH
1045G151,"Eel, swamp, boiled",Per 100 g,92.0,20.6,0.6,0.9,0.0,64.0,100,TH
1046G153,"Mackerel, Spanish, piece, raw",Per 100 g,119.0,21.2,3.6,0.3,0.0,145.0,100,TH
1047G152,"Mackerel, Spanish, piece, fried",Per 100 g,190.0,28.1,8.5,0.2,0.0,161.0,100,TH
1048G154,"Sea cucumber, white, without internal organs, raw",Per 100 g,65.0,10.4,0.0,5.6,0.0,0.0,100,TH
1049G155,"Sea cucumber, black, raw",Per 100 g,44.0,8.7,0.2,1.7,0.0,0.0,100,TH
104N122,"Ginger, sliced, fine",Per 100 g,32.0,0.6,0.2,6.9,0.0,16.0,100,TH
1050G219,"Crab, paddle-leg, flesh, cooked",Per 100 g,92.0,20.5,0.9,0.6,0.0,218.0,100,TH
1051G156,"Crab, serraed mud, meat",Per 100 g,92.0,17.3,2.5,0.0,0.0,0.0,100,TH
1052G157,"Crab, serraed mud, meat, boiled",Per 100 g,0.0,17.6,0.0,0.0,0.0,331.0,100,TH
1053G20,"Crab, ricefield, raw",Per 100 g,69.0,13.1,1.0,1.7,0.0,302.0,100,TH
1054G160,"Crab, blue swimming",Per 100 g,73.0,15.1,0.7,1.6,0.0,0.0,100,TH
1055G163,Sea horse,Per 100 g,194.0,28.5,0.4,19.2,0.0,0.0,100,TH
1056G165,"Jellyfish, dried",Per 100 g,38.0,6.9,0.0,2.5,0.0,0.0,100,TH
1057G166,"Mussel, horse, raw",Per 100 g,48.0,8.3,1.4,0.4,0.0,0.0,100,TH
1058G168,"Snail, pond/river, raw",Per 100 g,75.0,12.3,1.1,3.6,0.0,30.0,100,TH
1059G220,"Snail, pond/river, boiled",Per 100 g,85.0,13.9,0.7,5.5,0.0,0.0,100,TH
105N17,"Ginger, young rhizome",Per 100 g,11.0,0.5,0.3,0.9,1.4,35.0,100,TH
1060G169,"Cockle / ark shell , raw",Per 100 g,68.0,11.2,0.9,3.5,0.0,386.0,100,TH
